statea	stateb	year	dependa	dependb	demauta	demautb	allies	dispute1	logdstab	lcaprat2	smigoabi	opena	openb	minrpwrs	noncontg
2	20	1920	0.01573063	0.28017804	10	9	0	0	5.8201084	3.2413056	10	0.1562387	0.4284163	-1.0	-1.0
2	20	1921	0.011548538	0.22390056	10	10	0	0	5.8201084	3.171194	10	0.10317327	0.348117	-1.0	-1.0
2	20	1922	0.011250469	0.2008743	10	10	0	0	5.8201084	3.2479572	10	0.12613152	0.46848887	-1.0	-1.0
2	20	1923	0.011179244	0.21309505	10	10	0	0	5.8201084	3.1804914	10	0.09024599	0.37024382	-1.0	-1.0
2	20	1924	0.011026185	0.21250814	10	10	0	0	5.8201084	3.1917994	10	0.09118309	0.40735057	-1.0	-1.0
2	20	1925	0.010764415	0.19138744	10	10	0	0	5.8201084	3.190288	10	0.09765426	0.35802767	-1.0	-1.0
2	20	1926	0.009839264	0.17715718	10	10	0	0	5.8201084	3.1653638	11	0.09504349	0.31624806	-1.0	-1.0
2	20	1927	0.011639736	0.19319385	10	10	0	0	5.8201084	3.091553	12	0.09258266	0.42412084	-1.0	-1.0
2	20	1928	0.0137402825	0.21248573	10	10	0	0	5.8201084	3.0678608	14	0.09147379	0.40707532	-1.0	-1.0
2	20	1929	0.013556637	0.22392406	10	10	0	0	5.8201084	3.0734966	15	0.08983635	0.39034858	-1.0	-1.0
2	20	1930	0.011394647	0.17763384	10	10	0	0	5.8201084	3.019731	16	0.07552451	0.31938377	-1.0	-1.0
2	20	1931	0.008463905	0.14432009	10	10	0	0	5.8201084	3.03796	16	0.058169115	0.29171318	-1.0	-1.0
2	20	1932	0.0061285426	0.09764266	10	10	0	0	5.8201084	3.058797	17	0.049397893	0.23635009	-1.0	-1.0
2	20	1933	0.006392457	0.107407294	10	10	0	0	5.8201084	3.0540586	17	0.04790107	0.25379768	-1.0	-1.0
2	20	1934	0.0061697112	0.10094646	10	10	0	0	5.8201084	3.0393524	18	0.05642534	0.14325924	-1.0	-1.0
2	20	1935	0.006704224	0.10925769	10	10	0	0	5.8201084	2.985523	18	0.047115296	0.23132515	-1.0	-1.0
2	20	1936	0.008218351	0.14510025	10	10	0	0	5.8201084	3.0369172	19	0.05758506	0.3289266	-1.0	-1.0
2	20	1937	0.010154409	0.17088267	10	10	0	0	5.8201084	2.9999645	20	0.0692032	0.34749138	-1.0	-1.0
2	20	1938	0.008585476	0.1352256	10	10	0	0	5.8201084	2.9410558	20	0.058153875	0.28681737	-1.0	-1.0
2	20	1950	0.0142087415	0.22314762	10	10	1	0	5.8201084	2.8832047	45	0.0858434	0.43940762	-1.0	-1.0
2	20	1951	0.015345345	0.24383582	10	10	1	0	5.8201084	2.906521	46	0.10117532	0.626696	-1.0	-1.0
2	20	1952	0.015855858	0.23421352	10	10	1	0	5.8201084	2.833357	47	0.09580055	0.50072294	-1.0	-1.0
2	20	1953	0.01573791	0.2347198	10	10	1	0	5.8201084	2.8320763	47	0.0930526	0.48591614	-1.0	-1.0
2	20	1954	0.014904282	0.22554679	10	10	1	0	5.8201084	2.807731	48	0.0881012	0.4678948	-1.0	-1.0
2	20	1955	0.015467559	0.23357253	10	10	1	0	5.8201084	2.7703376	49	0.08658751	0.47677755	-1.0	-1.0
2	20	1956	0.017065883	0.24121387	10	10	1	0	5.8201084	2.733717	49	0.09714165	0.5000188	-1.0	-1.0
2	20	1957	0.016038232	0.22714409	10	10	1	0	5.8201084	2.739805	48	0.09880964	0.4806784	-1.0	-1.0
2	20	1958	0.014923463	0.20736541	10	10	1	0	5.8201084	2.7171748	48	0.09133009	0.4400282	-1.0	-1.0
2	20	1959	0.015191626	0.21640675	10	10	1	0	5.8201084	2.6791549	47	0.089752376	0.45124754	-1.0	-1.0
2	20	1960	0.014168699	0.20241483	10	10	1	0	5.8201084	2.6776392	47	0.09215854	0.44053483	-1.0	-1.0
2	20	1961	0.013955552	0.1996312	10	10	1	0	5.8201084	2.661988	48	0.08915195	0.43564627	-1.0	-1.0
2	20	1962	0.014075999	0.19967754	10	10	1	0	5.8201084	2.6651604	49	0.0882959	0.40908313	-1.0	-1.0
2	20	1963	0.01401414	0.19620593	10	10	1	0	5.8201084	2.6497474	51	0.089119606	0.4060201	-1.0	-1.0
2	20	1964	0.014848213	0.2051263	10	10	1	0	5.8201084	2.6337845	52	0.09326735	0.43899572	-1.0	-1.0
2	20	1965	0.015687954	0.21669187	10	10	1	0	5.8201084	2.6212025	53	0.0949	0.38439998	-1.0	-1.0
2	20	1966	0.017517148	0.23970799	10	10	1	0	5.8201084	2.67373	54	0.0986	0.402	-1.0	-1.0
2	20	1967	0.01839373	0.2487799	10	10	1	0	5.8201084	2.667758	55	0.0998	0.4124	-1.0	-1.0
2	20	1968	0.020105109	0.2700494	10	10	1	0	5.8201084	2.651527	57	0.1038	0.4276	-1.0	-1.0
2	20	1969	0.021338765	0.28131977	10	10	1	0	5.8201084	2.6730244	58	0.1043	0.4458	-1.0	-1.0
